"parent","ent_id","level_3"
food industry,bakery industry,economic sector
food industry,confectionery industry,economic sector
coffee sector,coffee farming,economic sector
tea industry,tea plantation,economic sector
economic sector,insurance industry,economic sector
economic sector,trade sector,economic sector
consumer products distribution,automotive service industry,economic sector
consumer products distribution,photographic shop,economic sector
consumer products distribution,leather goods trade,economic sector
trade in commodities and used materials,oil trading,economic sector
food trade,beverage trading,economic sector
wholesale trade,cash-and-carry wholesale,economic sector
wholesale trade,industrial distributors,economic sector
economic sector,bourses and securities trading,economic sector
hire and leasing industry,consumer leasing,economic sector
hire and leasing industry,leasing industry,economic sector
banking industry,building society,economic sector
banking industry,agricultural bank,economic sector
construction industry,building construction,economic sector
construction industry,underground construction,economic sector
transport sector,railway industry,economic sector
healthcare industry,national health service,economic sector
consultancy sector,organizational consultancy,economic sector
consultancy sector,engineering consultancy,economic sector
economic sector,waste management and recycling,economic sector
economic sector,media industry,economic sector
media market,broadcasting market,economic sector
energy industry,distributed energy resource,economic sector
company type,multi national corporation,study object
crowdsourcing of participant,Amazon Mechanical Turk,study object
theoretical entity,level of analysis,level of analysis
level of analysis,macro level,level of analysis
theory of relativity,special relativity theory,named theory
physics theory,theory of gravity,named theory
chemistry theory,theory of chemical bonding,named theory
biological theory,optimal foraging theory,named theory
biological theory,evolutionary theory,named theory
life sciences theory,medical theory,named theory
named theory,social sciences theory,named theory
social sciences theory,psychological theory,named theory
psychological theory,reinforcement theory,named theory
psychological theory,transactive memory theory,named theory
attribution theory,self perception theory,named theory
goal theory,goal setting theory,named theory
goal theory,goal framing theory,named theory
goal theory,goal orientation theory,named theory
motivation theory,motivation crowding theory,named theory
motivation theory,protection motivation theory,named theory
motivation theory,fear appeal theory,named theory
self determination theory,relationship motivation theory,named theory
motivation theory,Maslow motivation theory,named theory
motivation theory,expectancy–value theory,named theory
motivation theory,social cognitive theory of achievement motivation,named theory
learning theory,social cognitive learning theory,named theory
theory of human memory,long-term working memory theory,named theory
learning theory,theory of perceptual learning,named theory
social cognitive theory,social cognitive theory of morality,named theory
attitude theory,theory of planned behavior,named theory
social psychology theory,prototype-willingness model,named theory
social psychology theory,social penetration theory,named theory
social psychology theory,social comparison theory,named theory
psychological theory,socioemotional selectivity theory,named theory
mental model theory,mental model theory of reasoning,named theory
consciousness theory,dynamic core hypothesis,named theory
cognitive theory,theory of distributed cognition,named theory
cognitive theory,theory of human problem solving,named theory
cognitive theory,theory of problem solving,named theory
theory of analogical reasoning,structure mapping theory,named theory
theory of problem solving,theory of case-based reasoning,named theory
cognitive theory,cognitive miser theory,named theory
psychological theory,self justification theory,named theory
psychological theory,health behaviour theory,named theory
health behaviour theory,health belief model,named theory
sociological theory,social action theory,named theory
economic theory,macroeconomic theory,named theory
cost-of-production theory of value,labor theory of value,named theory
economic theory,economic theory of complementarity,named theory
new institutional economics,property rights theory,named theory
economic theory,consumer search theory,named theory
economic theory,lemon market theory,named theory
behavioral economics,prospect theory,named theory
prospect theory,status quo bias theory,named theory
behavioral economics,nudge theory,named theory
complexity theory,theory of emergence,named theory
bifurcation theory,catastrophe theory,named theory
mathematical theory,optimization theory,named theory
formal sciences theory,computer science theory,named theory
formal sciences theory,ethical theory,named theory
formal sciences theory,philosophical theory,named theory
information systems theory,information foraging theory,named theory
information systems theory,theory of ontological expressiveness,named theory
information systems theory,theory of combined ontological completeness and overlap,named theory
information systems theory,social response theory,named theory
information systems theory,IT security theory,named theory
IT security theory,selective organizational information privacy and security violations model,named theory
IT security theory,privacy calculus theory,named theory
information systems theory,general deterrence theory,named theory
technology acceptance theory,TAM3,named theory
technology acceptance theory,post acceptance model,named theory
criminal theory,crime opportunity theory,named theory
applied sciences theory,management theory,named theory
knowledge management theory,i-Space model,named theory
management theory,financial theory,named theory
marketing theory,commitment-trust theory,named theory
leadership theory,leader–member exchange theory,named theory
strategic management theory,core competency theory,named theory
dominant logic,dynamic-dominant logic,named theory
expectancy theory of motivation,expectancy valence theory,named theory
management theory,theory of job satisfaction,named theory
organizational theory,affective events theory,named theory
management theory,expectation confirmation theory,named theory
management theory,discrepancy theory,named theory
management theory,innovation theory,named theory
media theory,media richness theory,named theory
media theory,theory of interactive media effects,named theory
communication theory,uses and gratifications theory,named theory
theory of deceptive discourse production,information manipulation theory 2,named theory
communication theory,theory of language structure,named theory
communication theory,readability theory,named theory
communication theory,theory of language,named theory
communication theory,argumentation theory,named theory
theory of humor,misattribution theory,named theory
literary theory,reader-response theory,named theory
applied sciences theory,aesthetic theory,named theory
engineering theory,Euler–Bernoulli beam theory,named theory
applied sciences theory,urban theory,named theory
named design theory,autogenetic design theory,named theory
named design theory,theory of dominant design,named theory
named design theory,creative segment theory,named theory
named design theory,theory of reflective practice,named theory
design thinking theory,framing theory,named theory
user experience theory,theory of affordance,named theory
named design theory,function-behaviour-structure model,named theory
research stage,preregistered study,research stage
research stage,replication study,research stage
QDA software,HyperResearch,data analysis method
QDA software,QDA Miner,data analysis method
quantitative analysis tool,SPSS,data analysis method
quantitative analysis tool,RapidMiner,data analysis method
quantitative analysis tool,Weka,data analysis method
quantitative analysis tool,S PLUS,data analysis method
quantitative analysis tool,KNIME,data analysis method
Wolfram Research,Mathematica,data analysis method
deep learning,long short memory network,data analysis method
generative pre-trained transformer,generative pre-trained transformer 2,data analysis method
text-to-3d model,EG3D,data analysis method
machine learning method,supervised learning,data analysis method
ensemble learning,voting ensemble,data analysis method
partitional clustering,k-medoids clustering,data analysis method
partitional clustering,locality sensitive hashing based clustering,data analysis method
unsupervised learning,association rule learning,data analysis method
machine learning method,self-supervised learning,data analysis method
machine learning,machine learning application,data analysis method
image processing,image data source,data analysis method
image processing,computer vision tool,data analysis method
computer vision tool,DeepFace,data analysis method
NLP tool,CoreNLP,data analysis method
sentiment analysis,aspect-based sentiment analysis,data analysis method
spatial analysis,spatial regression,data analysis method
spatial analysis,geographic analytics,data analysis method
analysis of conditional distribution,correlation analysis,data analysis method
latent variable model,latent class analysis,data analysis method
latent variable model,structural equation modeling,data analysis method
trade-off analysis method,conjoint analysis,data analysis method
trade-off analysis method,Simultaneous Multi-Attribute Trade Off,data analysis method
quantitative analysis,post analysis,data analysis method
time series analysis,vector autoregression,data analysis method
time series analysis,linear trend estimation,data analysis method
time series analysis,generalized autoregressive conditional heteroskedasticity model,data analysis method
causality analysis,Sims causality,data analysis method
causality analysis,necessary condition analysis,data analysis method
survival analysis,survival function,data analysis method
survival function,accelerated failure time model,data analysis method
quantitative analysis,sequential analysis,data analysis method
sequential analysis,sequential estimation,data analysis method
sequential analysis,sequential probability ratio test,data analysis method
sequential analysis,multi-armed bandit,data analysis method
multivariate statistics,analysis of covariance,data analysis method
factor analysis,confirmatory factor analysis,data analysis method
dimensionality reduction,projection to latent structure,data analysis method
regression analysis method,multiple regression,data analysis method
correlation of model error,Breusch–Godfrey test,data analysis method
distribution of model error,normal probability plot,data analysis method
G theory tool,GENOVA,data analysis method
sample of location test,"3 or more groups location test",data analysis method
parametricity of location test,parametric location test,data analysis method
location test,level of measurement of location test,data analysis method
Student's t-test,one sample t-test,data analysis method
ANOVA,multiway ANOVA,data analysis method
ANOVA,repeated measures ANOVA,data analysis method
post-hoc analysis,Scheffe test,data analysis method
post-hoc analysis,Benjamini–Hochberg procedure,data analysis method
test of association between categorical variables,Fisher's exact test,data analysis method
test of association between categorical variables,Barnard's test,data analysis method
homoskedasticity test,Breusch-Pagan test,data analysis method
non probabilistic sampling,theoretical saturation,sampling
non probabilistic sampling,voluntary sampling,sampling
probabilistic sampling,random sampling,sampling
probabilistic sampling,oversampling,sampling
analytical information system,business intelligence,IS technology
big data,Apache Hadoop,IS technology
Apache Hadoop,Apache Hive,IS technology
stream processing,complex event processing,IS technology
stream processing,Apache Flink,IS technology
stream processing,Apache Storm,IS technology
analytical information system,data integration,IS technology
responsible artificial intelligence,data injustice,IS technology
automated reasoning,inference engine,IS technology
data visualization,information graphic,IS technology
analytical information system,recommender system,IS technology
operational information system,accounting information system,IS technology
accounting information system,financial information system,IS technology
marketing information system,pricing information system,IS technology
ERP software package,SAP R/3,IS technology
ERP software package,SAP Business One,IS technology
ERP software package,Salesforce.com,IS technology
customer relationship management system,sales information system,IS technology
inventory management system,warehouse management system,IS technology
industrial artificial intelligence,model based condition monitoring,IS technology
manufacturing information system,computer aided design,IS technology
manufacturing information system,computer aided quality assurance,IS technology
manufacturing information system,industrial analytics,IS technology
word processing,Microsoft Word,IS technology
content management system,document management system,IS technology
enterprise information system,computer supported cooperative work,IS technology
computer supported cooperative work,collaborative authoring,IS technology
IT supported collaboration,virtual workplace,IS technology
IT supported collaboration,group support system,IS technology
IT supported collaboration,negotiation support system,IS technology
industry specific information system,airline information system,IS technology
electronic finance,online investing,IS technology
peer-to-peer lending site,Prosper,IS technology
electronic payment,electronic bill payment,IS technology
healthcare data,personal health record,IS technology
smart home,smart metering,IS technology
smart speaker,Apple HomePod,IS technology
ubiquitous computing,smart device,IS technology
mobile application,mobile application market,IS technology
portable computer,laptop computer,IS technology
portable computer,hand held computer,IS technology
social commerce,collaborative consumption,IS technology
online advertising,digital ad exchange,IS technology
social media,online community,IS technology
social media site,YouTube,IS technology
social media site,Snapchat,IS technology
TikTok,Douyin,IS technology
social media site,Flickr,IS technology
social media site,Vine,IS technology
live streaming platform,YouTube Live,IS technology
online dating service,Cupid.com,IS technology
video game,video game console,IS technology
video game,free to play game,IS technology
video streaming provider,Disney+,IS technology
video streaming provider,Tencent Video,IS technology
music streaming provider,SoundCloud,IS technology
music streaming provider,Deezer,IS technology
extended reality,augmented virtuality,IS technology
computer system,personal computer,IS technology
computer system,home computer,IS technology
non volatile memory,optical storage device,IS technology
high level language,procedural language,IS technology
high level language,fourth-generation programming language,IS technology
programming language,source code,IS technology
general-purpose programming language,Algol,IS technology
information technology infrastructure,information exchange,IS technology
simple object access protocol,"universal description, discovery and integration",IS technology
network technology,wired network technology,IS technology
wired network technology,Ethernet,IS technology
wired network technology,wide area network,IS technology
wireless computer network,broadband cellular network,IS technology
Bluetooth,Bluetooth Low Energy,IS technology
radio frequency identification,Near Field Communication,IS technology
communication service infrastructure,electronic mail,IS technology
online chat,chat room,IS technology
information technology infrastructure,data center,IS technology
distributed system,client-server model,IS technology
distributed system,edge computing,IS technology
cloud computing,cloud computing provider,IS technology
cloud computing provider,Microsoft Azure,IS technology
information technology infrastructure,computer software,IS technology
operating system,Multics,IS technology
operating system,PC DOS,IS technology
operating system,mobile operating system,IS technology
virtualization technology,virtualization software vendors,IS technology
information technology infrastructure,information retrieval,IS technology
web search engine,Yandex,IS technology
database system,distributed database,IS technology
database system,nosql database,IS technology
graph database,Neo4j,IS technology
blockchain,cryptoasset,IS technology
blockchain,web3,IS technology
structured literature research,bibliometric software,research method
bibliometric software,VOSviewer,research method
literature database,Science Direct,research method
literature database,Web of Science Core Collection,research method
Web of Science Core Collection,Book Citation Index,research method
literature database,Journal Citation Reports,research method
literature database,SpringerLink,research method
literature database,Taylor Francis Online,research method
academic journal list,top IS journal,research method
individual IS journal,European Journal of Information Systems,research method
individual IS journal,Journal of Information Technology,research method
individual IS journal,Journal of Strategic Information Systems,research method
simulation,system dynamics,research method
mathematical model,econometric model,research method
stochastic model,Markov model,research method
Markov model,tolerant Markov model,research method
discrete optimization,integer programming,research method
integer programming,mixed-integer programming,research method
combinatorial optimization,traveling purchaser problem,research method
multiple criteria decision making,superiority and inferiority ranking method,research method
multiple criteria decision making,Decision EXpert,research method
design science,design methodology,research method
design science,design pattern,research method
conceptual modelling,metamodel,research method
method engineering,method tailoring,research method
method engineering,situational method engineering,research method
conceptual modelling,modeling language,research method
modeling language,unified modeling language,research method
unified modeling language,activity diagram,research method
modeling language,Systems Modeling Language,research method
existing ontologies,ontology for biomedical investigations,research method
methodological entity,statistical metric,statistical metric
statistical dispersion,median absolute deviation,statistical metric
rank correlation coefficient,Kendall rank correlation coefficient,statistical metric
rank correlation coefficient,Goodman and Kruskal's gamma,statistical metric
point estimation performance score,minimum mean square error,statistical metric
point estimation performance score,mean squared prediction error,statistical metric
root mean square residual,standardized root mean square residual,statistical metric
root mean square residual,weighted root mean square residual,statistical metric
goodness of fit index,coefficient of determination,statistical metric
quantitative confidence value,confidence interval,statistical metric
statistical metric,confusion matrix,statistical metric
confusion matrix based metric,f-measure,statistical metric
statistical metric,Z-factor,statistical metric
test score reliability coefficient,test-retest reliability,statistical metric
Kuder–Richardson formulas,Kuder–Richardson formulas 20,statistical metric
inter-rater reliability,Fleiss' kappa,statistical metric
inter-rater reliability,Scott's pi,statistical metric
statistical metric,statistical significance result,statistical metric
effect size,eta squared,statistical metric
effect size,Hedges' g,statistical metric
statistical metric,graph metric,statistical metric
centrality measure,PageRank centrality,statistical metric
data collection method,empirical quantitative method,research method
field experiment,randomized field experiment,research method
experiment,experimental design,research method
screening design,standard screening design,research method
survey,self reported survey,research method
survey design,scale validation,research method
survey design problem,leading question,research method
neurophysiology,NeuroIS,research method
magnetic resonance imaging,functional magnetic resonance imaging,research method
magnetic resonance imaging,diffusion MRI,research method
oculometry,eye tracking tool,research method
biometric measurement,electrooculography,research method
empirical quantitative method,quantitative observational study,research method
quasi experiment,natural experiment,research method
quasi experiment,case control study,research method
quantitative observational study,emotion sensing technology,research method
digital trace data,self-tracking data,research method
digital trace data,process trace data,research method
design science evaluation,design artifact testing,research method
design science evaluation,expert evaluation,research method
design science evaluation,method testing,research method
ethnography,cooperative inquiry,research method
visual ethnography,videography,research method
ethnography,diary study,research method
empirical qualitative method,archival research,research method
archival research,government statistic,research method
archival research,archival database,research method
financial archival database,FactSet,research method
financial archival database,PitchBook,research method
archival database,news archival database,research method
empirical qualitative method,qualitative interview,research method
qualitative interview,personal interview,research method
time horizon of research,longitudinal research,research method
time horizon of research,cross sectional research,research method
criterion validity,postdictive validity,validity
design validity,instantiation validity,validity
IS topic,IS economics,IS topic
IS economics,moral hazard,IS topic
IS economics,economies of scope,IS topic
IS topic,IT security,IS topic
ad fraud,click fraud,IS topic
IT security category,cyberwarfare,IS topic
IT security threat,denial of service attack,IS topic
malware,trojan horse,IS topic
malware,computer worm,IS topic
malware,wiper,IS topic
IT security defense,technical IT security defense,IS topic
electronic authentication,single sign on,IS topic
technical IT security defense,data encryption,IS topic
data encryption,public key encryption,IS topic
public key encryption,Diffie-Hellman key exchange,IS topic
elliptic curve cryptography,elliptic curve integrated encryption scheme,IS topic
symmetric-key encryption,Data Encryption Standard,IS topic
data encryption,digital signature,IS topic
homomorphic encryption,fully homomorphic encryption,IS topic
information privacy concern,electronic surveillance,IS topic
privacy,data protection,IS topic
data protection,anonymity,IS topic
information privacy law,Personal Information Protection and Electronic Documents Act,IS topic
business process management,business process ownership,IS topic
societal challenge,Sustainable Development Goal,IS topic
anthropogenic hazard,armed conflict,IS topic
terrorist incident,September 11 attack,IS topic
emergency management,natural hazard,IS topic
natural hazard,tornado,IS topic
natural hazard,tsunami,IS topic
natural hazard,volcanic eruption,IS topic
pandemic,HIV/AIDS,IS topic
legal context,accounting standard,IS topic
legal context,financial law,IS topic
Basel Accords,Basel II,IS topic
internet regulation,Broadband Justice Act,IS topic
organizational context,environmental uncertainty,IS topic
business function,project management,IS topic
business function,human resource management,IS topic
accounting function,cost accounting,IS topic
price management,nonlinear pricing,IS topic
business function,risk management,IS topic
business function,procurement management,IS topic
production method,lean manufacturing,IS topic
quality management,total quality management,IS topic
strategic management,strategic management technique,IS topic
strategic management,strategic agility,IS topic
strategic management,product differentiation,IS topic
strategic management,business model,IS topic
organizational context,enabling capability,IS topic
enabling capability,organizational culture,IS topic
individual characteristic,intrinsic motivation,IS topic
individual characteristic,behavioral intention,IS topic
individual characteristic,psychological ownership,IS topic
organizational context,task characteristic,IS topic
task complexity,task equivocality,IS topic
knowledge work,brainstorming,IS topic
business evaluation criteria,decision quality,IS topic
IS evaluation criteria,system maintainablility,IS topic
IS evaluation criteria,data quality,IS topic
technostress,information overload,IS topic
information technology addiction,internet addiction,IS topic
information systems usefulness,perceived usefulness,IS topic
user evaluation criteria,mindfulness,IS topic
user evaluation criteria,user behavior,IS topic
technology adoption,user acceptance,IS topic
organizational impact,competitive advantage,IS topic
productivity,project productivity,IS topic
knowledge management,knowledge sharing,IS topic
knowledge management,knowledge utilization,IS topic
knowledge management,knowledge management strategy,IS topic
knowledge type,organizational memory,IS topic
digital business,digital business model,IS topic
digital business,digital transformation,IS topic
digital business,algorithmic management,IS topic
digital business,digital taylorism,IS topic
sharing platform,real estate sharing platform,IS topic
digital business,digital service,IS topic
user interface,command line interface,IS topic
user interface,text user interface,IS topic
user interface,interactive interface,IS topic
IT project,IT project team,IS topic
IT project,IS project failure,IS topic
IS topic,IT service management,IS topic
systems development,end user computing,IS topic
human centered design,user centered design,IS topic
systems development,systems design,IS topic
systems evaluation,systems evaluation methodology,IS topic
system testing,debugging,IS topic
system testing,code walkthrough,IS topic
IT planning,business systems planning,IS topic
IT governance,COBIT,IS topic
intellectual property,paywall,IS topic
software protection,software license,IS topic
IS topic,IT workforce,IS topic
IT job,IT job advertisement,IS topic
IT workforce,IT job category,IS topic
IT workforce,job satisfaction,IS topic
IS topic,IS discipline,IS topic
logical positivism,verificationism,research paradigm
social subjectivist paradigm,interpretivism,research paradigm
social subjectivist paradigm,constructivism,research paradigm
social subjectivist paradigm,post-structuralism,research paradigm
research paradigm,ethics,research paradigm
theoretical entity,model,model
item scale,Guttman scale,model
variable,mediating variable,model
research hypothesis,alternative hypothesis,model
research question,numbered research question,model
United Kingdom,England,geographic names
United Kingdom,Scotland,geographic names
western europe,Liechtenstein,geographic names
Hesse,Frankfurt am Main,geographic names
Germany,Lower Saxony,geographic names
Germany,Rhineland-Palatinate,geographic names
Germany,Brandenburg,geographic names
Germany,Thuringia,geographic names
Switzerland,Obwalden,geographic names
Switzerland,St. Gallen,geographic names
Switzerland,Schaffhausen,geographic names
Switzerland,Schwyz,geographic names
Switzerland,Solothurn,geographic names
Russia,Siberia,geographic names
Eastern Europe,Belarus,geographic names
Europe,northern europe,geographic names
Baltic countries,Latvia,geographic names
southeastern europe,Moldova,geographic names
west asia,Iran,geographic names
asia,central asia,geographic names
asia,Caspian Sea,geographic names
Japan,Tokyo,geographic names
Korea,South Korea,geographic names
southeast asia,East Timor,geographic names
southeast asia,Thailand,geographic names
Africa,Sahel,geographic names
East Africa,Djibouti,geographic names
East Africa,Rwanda,geographic names
East Africa,South Sudan,geographic names
Africa,North Africa,geographic names
North Africa,Algeria,geographic names
Africa,Southern Africa,geographic names
Southern Africa,Namibia,geographic names
West Africa,Burkina Faso,geographic names
West Africa,Liberia,geographic names
West Africa,Senegal,geographic names
West Africa,Sierra Leone,geographic names
West Africa,Togo,geographic names
Central America,Guatemala,geographic names
Texas,Houston,geographic names
United States,Pennsylvania,geographic names
United States,Ohio,geographic names
United States,North Carolina,geographic names
United States,New Jersey,geographic names
Massachusetts,Boston,geographic names
Queensland,Brisbane,geographic names
Oceania,New Zealand,geographic names
Oceania,Polynesia,geographic names
manufacturing industry,consumer goods industry,economic sector
manufacturing industry,capital goods industry,economic sector
manufacturing industry,forest industry,economic sector
forest industry,packaging industry,economic sector
machinery industry and plant construction,robot industry,economic sector
machinery industry,textile machinery industry,economic sector
chemical industry,fertilizer industry,economic sector
chemical industry,cosmetics industry,economic sector
chemical industry,pesticide industry,economic sector
manufacturing industry,vehicle industry,economic sector
metal industry,non-ferrous metals industry,economic sector
metal industry,steel industry,economic sector
textile industry,cotton industry,economic sector
textile and clothing industry,footwear market,economic sector
electronics and computer industry,semiconductor industry,economic sector
telecommunications industry,mobile network operator,economic sector
electronics and computer industry,electronics industry,economic sector
electronics industry,optoelectronics industry,economic sector
electronics and computer industry,medical device industry,economic sector
electronics and computer industry,watch industry,economic sector
food industry,meat industry,economic sector
fisheries,inland fisheries,economic sector
food industry,feed industry,economic sector
food industry,dairy industry,economic sector
food industry,food market,economic sector
insurance industry,insurance intermediation,economic sector
retail trade,discounters,economic sector
retail trade,convenience store,economic sector
consumer products distribution,furniture retailing,economic sector
consumer products distribution,electrical goods trade,economic sector
consumer products distribution,art trade,economic sector
trade in commodities and used materials,oil consumption,economic sector
food trade,wine trade,economic sector
economic sector,leisure industry,economic sector
equipment leasing industry,computer leasing industry,economic sector
tourism industry,holiday accommodation,economic sector
banking industry,credit union,economic sector
investment fund,fund management,economic sector
financial sector,credit card industry,economic sector
building construction,airport construction,economic sector
domestic installation,electrician trade,economic sector
business service sector,event sector,economic sector
eco-industry,environmental service,economic sector
hospitality industry,restaurant industry,economic sector
economic sector,sports industry,economic sector
sports industry,fitness industry,economic sector
broadcasting industry,commercial broadcasting,economic sector
media industry,news agency,economic sector
cultural sector,theatre,economic sector
participant selection,crowdsourcing of participant,study object
crowdsourcing of participant,CrowdFlower,study object
crowdsourcing of participant,Prolific Academic,study object
natural sciences theory,chemistry theory,named theory
evolutionary theory,co-evolution theory,named theory
medical theory,neuroscience theory,named theory
reinforcement theory,reinforcement theory of motivation,named theory
psychological theory,reinforcement sensitivity theory,named theory
psychological theory,feedback intervention theory,named theory
affect theory,Silvan Tomkins's nine affects,named theory
psychological theory,motivation theory,named theory
goal theory,goal directed theory,named theory
motivation theory,Keller's ARCS theory of motivation,named theory
motivation theory,self determination theory,named theory
personality theory,Myers–Briggs type indicator,named theory
theory of human memory,Baddeley's model of working memory,named theory
creativity theory,investment theory of creativity,named theory
creativity theory,componential theory of creativity,named theory
social psychology theory,elaboration likelihood model,named theory
psychological theory,thin slicing,named theory
psychological theory,triangular theory of love,named theory
cognitive theory,cognitive attention theory,named theory
cognitive attention theory,perceptual load theory,named theory
cognitive attention theory,attention restoration theory,named theory
visual perception theory,gestalt principles of perception,named theory
cognitive theory,spatial information theory,named theory
cognitive theory,theory of conceptual combinations,named theory
cognitive theory,theory of mind,named theory
cognitive theory,dual-coding theory,named theory
cognitive theory,mental set theory,named theory
theory of problem solving,theory of analogical reasoning,named theory
theory of analogical reasoning,contrast theory,named theory
cognitive theory,action regulation theory,named theory
psychological theory,sociometer theory,named theory
sociological theory,socio technical theory,named theory
sociological theory,production of space theory,named theory
sociological theory,equity theory,named theory
science and technology studies theory,theory of epistemic cultures,named theory
economic theory,economic production theory,named theory
economic theory,public choice theory,named theory
prospect theory,endowment effect,named theory
behavioral economics,problemistic search theory,named theory
behavioral economics,regret theory,named theory
noncooperative game theory,deterrence theory,named theory
mathematical theory,statistical learning theory,named theory
possibility theory,rough set theory,named theory
mathematical theory,category theory,named theory
information theory,mathematical theory of communication,named theory
human-computer interaction theory,competition for attention theory,named theory
human-computer interaction theory,motion effect theory,named theory
