"ent_id","definition","label","parent","level","related","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9","level_10"
quasi experiment,"A quasi experiment is a research method that, while lacking the full control of a true experiment, attempts to infer causality through manipulation of an independent variable without random assignment.",COLLECTION_METHOD,quantitative observational study,7.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,quasi experiment,"","",""
natural experiment,"A natural experiment is a type of quasi-experiment where the researcher does not have control over the independent variable as it is naturally occurring or due to external factors, but still measures the impact on the dependent variable.",COLLECTION_METHOD,quasi experiment,8.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,quasi experiment,natural experiment,"",""
case control study,A case control study is a type of observational research design where two existing groups differing in outcome are identified and compared on the basis of some supposed causal attribute.,COLLECTION_METHOD,quasi experiment,8.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,quasi experiment,case control study,"",""
interrupted time series design,"An interrupted time series design is a research method that involves the collection and analysis of observations at multiple instances over time both before and after a 'treatment' or intervention is implemented, allowing for the examination of potential causal relationships.",COLLECTION_METHOD,case control study,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,quasi experiment,case control study,interrupted time series design,""
nonequivalent control groups design,"Nonequivalent control groups design refers to a quasi-experimental research design where the comparison group is not randomly selected, thus potentially differing in important ways from the treatment group, which can affect the validity of the results.",COLLECTION_METHOD,quasi experiment,8.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,quasi experiment,nonequivalent control groups design,"",""
self quantification,"Self quantification refers to the process of collecting, tracking, and analyzing personal data, often through digital means, to measure various aspects of an individual's life for the purpose of improving health, productivity, or overall well-being.",COLLECTION_METHOD,quantitative observational study,7.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,self quantification,"","",""
experience sampling,"Experience sampling is a methodological tool in self-quantification that involves the systematic collection of data about individuals' experiences in real-time or near real-time, typically through repeated surveys or prompts, to capture the dynamics of behaviors, emotions, thoughts, or environmental factors.",COLLECTION_METHOD,self quantification,8.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,self quantification,experience sampling,"",""
emotion sensing technology,"Emotion sensing technology refers to a methodological approach that utilizes advanced algorithms and sensors to identify, analyze, and interpret human emotional responses based on physiological signals and behavioral cues.",COLLECTION_METHOD,quantitative observational study,7.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,emotion sensing technology,"","",""
wearables based research,Wearables based research refers to a method of quantitative observational study that utilizes wearable technology to collect and analyze data related to human behavior and physiological responses.,COLLECTION_METHOD,quantitative observational study,7.0,smart wearable device,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,wearables based research,"","",""
digital observation,"Digital observation refers to the systematic collection and analysis of data from digital sources, such as social media, websites, and online databases, as part of a quantitative observational study.",COLLECTION_METHOD,quantitative observational study,7.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,"","",""
digital trace data,"Digital trace data refers to the systematically collected and recorded information about online activities and interactions, which can be analyzed to understand patterns, behaviors, and trends.",COLLECTION_METHOD,digital observation,8.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,"",""
usage data,"Usage data refers to the detailed records of interactions and activities performed by users within a system, including the frequency, duration, and pattern of use, which is a subset of digital trace data.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,usage data,""
self-tracking data,"Self-tracking data refers to the information collected and recorded by individuals about themselves, often through digital devices or applications, to monitor or analyze various aspects of their personal life or health.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,self-tracking data,""
telematic data,"Telematic data refers to the information collected and transmitted by telematics systems, which includes data on vehicle usage, location, and driver behavior, and is a specific type of digital trace data.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,telematic data,""
driving behavior data,"Driving behavior data refers to the specific subset of digital trace data that encapsulates the patterns, actions, and decisions made by a driver while operating a vehicle, collected through various technological means.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,driving behavior data,""
product review,"A product review is a systematic evaluation method that involves the assessment and documentation of a product's performance, quality, and user satisfaction, typically generated by consumers or experts after usage, and serves as a form of digital trace data.",COLLECTION_METHOD,digital trace data,9.0,online review,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,product review,""
Yelp review,"A Yelp review is a specific type of product review that is publicly posted by consumers on the Yelp platform to share their experiences and evaluations of businesses, services, or products.",COLLECTION_METHOD,product review,10.0,online review,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,product review,Yelp review
Amazon review,"An Amazon review is a specific type of product review that is generated by customers on the Amazon platform, providing feedback and ratings on purchased items.",COLLECTION_METHOD,product review,10.0,online review,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,product review,Amazon review
Internet Movie Database review,"An Internet Movie Database review is a systematic evaluation method that involves assessing the quality, significance, and overall performance of films, television series, and other related media content available on the Internet Movie Database platform.",COLLECTION_METHOD,product review,10.0,online review,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,product review,Internet Movie Database review
Wikipedia profile,"A Wikipedia profile refers to the aggregated digital trace data associated with a specific user's activities, interactions, and contributions on the Wikipedia platform.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,Wikipedia profile,""
forums posting,"Forums posting refers to the process of creating and submitting content in online discussion sites, which serves as a method of collecting digital trace data.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,forums posting,""
process trace data,"Process trace data refers to the specific subset of digital trace data that captures and records the sequence of activities, events, or steps involved in the execution of a particular process within an information system.",COLLECTION_METHOD,digital trace data,9.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,process trace data,""
event log,"An event log is a systematic record of discrete occurrences within a system, derived from process trace data, that provides chronological evidence of activities for analysis and auditing purposes.",COLLECTION_METHOD,process trace data,10.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,process trace data,event log
process log,"A process log is a systematic compilation of chronological records that detail the sequence, execution, and completion of tasks within a specific process, serving as a subset of process trace data.",COLLECTION_METHOD,process trace data,10.0,,entity,methodological entity,research method,data collection method,empirical quantitative method,quantitative observational study,digital observation,digital trace data,process trace data,process log
empirical qualitative method,"An empirical qualitative method is a data collection technique that involves the systematic observation, interpretation, and analysis of non-numerical data to gain insights and understand complex phenomena.",COLLECTION_METHOD,data collection method,5.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,"","","","",""
case study,"A case study is a detailed investigation of a single entity, phenomenon, or social unit to explore its complexities and derive in-depth understanding, typically employing multiple data sources and analytical techniques.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,case study,"","","",""
single case study,"A single case study is a research approach that involves an in-depth, detailed examination of a specific instance or event in its real-world context to generate inferences about its nature, characteristics, and implications.",COLLECTION_METHOD,case study,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,case study,single case study,"","",""
multiple case study,"A multiple case study is a research strategy that involves the in-depth, longitudinal examination of several instances of a phenomenon to explore the similarities or differences across cases.",COLLECTION_METHOD,case study,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,case study,multiple case study,"","",""
longitudinal case study,"A longitudinal case study is a research method that involves an in-depth investigation of a single individual, group, or event over an extended period of time to observe the development or evolution of the subject.",COLLECTION_METHOD,case study,7.0,longitudinal research,entity,methodological entity,research method,data collection method,empirical qualitative method,case study,longitudinal case study,"","",""
pilot case study,"A pilot case study is a preliminary, small-scale investigation conducted to evaluate the feasibility, time, cost, risk, and adverse events associated with a larger, more comprehensive study.",COLLECTION_METHOD,case study,7.0,pilot study,entity,methodological entity,research method,data collection method,empirical qualitative method,case study,pilot case study,"","",""
action research,"Action research is a type of empirical qualitative method that involves a cyclical process of identifying a problem, implementing a change, observing the results, and refining the approach based on the findings.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,action research,"","","",""
participatory action research,"Participatory action research is a method of action research that involves the active participation of stakeholders, such as employees or community members, in the research process to solve real-world problems and reflect on the results.",COLLECTION_METHOD,action research,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,action research,participatory action research,"","",""
action design research,"Action design research is a methodological approach in which the process of designing an information system is combined with its implementation and evaluation in a real-world context, thereby integrating problem-solving and research through iterative cycles.",COLLECTION_METHOD,action research,7.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,action research,action design research,"","",""
design science evaluation,"Design science evaluation is a methodological approach within the empirical qualitative method that systematically assesses the utility, quality, and efficacy of designed artifacts in the information systems field.",COLLECTION_METHOD,empirical qualitative method,6.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,"","","",""
design artifact testing,"Design artifact testing refers to the systematic process of evaluating the functionality, reliability, and effectiveness of a design artifact within the context of its intended use, based on predefined criteria and metrics.",COLLECTION_METHOD,design science evaluation,7.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,design artifact testing,"","",""
expert evaluation,Expert evaluation refers to a systematic assessment method within design science evaluation that involves the critical analysis of a system or product by individuals with specialized knowledge or expertise in the relevant field.,COLLECTION_METHOD,design science evaluation,7.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,expert evaluation,"","",""
applicability check,"An applicability check is a methodical procedure within expert evaluation that assesses the relevance and suitability of a particular system, process, or solution in a given context.",COLLECTION_METHOD,expert evaluation,8.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,expert evaluation,applicability check,"",""
method testing,"Method testing refers to the systematic process of evaluating, verifying, and validating the effectiveness, efficiency, and reliability of a specific method within a design science framework.",COLLECTION_METHOD,design science evaluation,7.0,method engineering,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,method testing,"","",""
usability testing,"Usability testing is a systematic evaluation method that involves real users performing specific tasks in a controlled environment to assess the efficiency, effectiveness, and satisfaction of a product or system.",COLLECTION_METHOD,design science evaluation,7.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,usability testing,"","",""
cognitive walkthrough,A cognitive walkthrough is a user-centered evaluation method in which experts simulate and analyze the decision-making process of a new user interacting with an interface for the first time to identify potential usability issues.,COLLECTION_METHOD,usability testing,8.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,usability testing,cognitive walkthrough,"",""
cognitive task analysis,"Cognitive task analysis is a systematic procedure used in usability testing to identify, understand, and represent the mental processes and knowledge required by a user to accomplish specific tasks in a system.",COLLECTION_METHOD,usability testing,8.0,design science,entity,methodological entity,research method,data collection method,empirical qualitative method,design science evaluation,usability testing,cognitive task analysis,"",""
qualitativ observational study,"A qualitativ observational study is a research approach where data is collected through observing and documenting specific behaviors, events, or phenomena in their natural settings without any manipulation or control exerted by the researcher, focusing on the meanings, interpretations, and processes underlying the observed behaviors or events.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,"","","",""
participant observation,"Participant observation is a qualitative research method in which the researcher immerses themselves in a group or community to observe behaviors, interactions, and events while also participating in the activities to gain a deeper understanding of the phenomena under study.",COLLECTION_METHOD,qualitativ observational study,7.0,ethnography,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,participant observation,"","",""
non participant observation,Non participant observation is a research method in which the observer collects data without actively participating or influencing the environment or subjects under study.,COLLECTION_METHOD,qualitativ observational study,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,non participant observation,"","",""
ethnography,"Ethnography is a qualitative observational study method that involves the systematic recording and detailed analysis of human cultures and societies, typically through participant observation within the community being studied.",COLLECTION_METHOD,qualitativ observational study,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,"","",""
netnography,"Netnography is a qualitative, interpretive research methodology that adapts traditional ethnographic techniques to study the cultures and communities emerging through digital communications.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,netnography,"",""
inventory method,"An inventory method is a systematic approach used in ethnography to gather and analyze data about individuals' personal possessions and their usage, providing insights into their cultural practices, behaviors, and values.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,inventory method,"",""
field study,"A field study is a systematic and empirical method of data collection, often used in ethnography, where the researcher observes and interacts with individuals or groups in their natural environment to gain a deeper understanding of the phenomena under investigation.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,field study,"",""
cooperative inquiry,Cooperative inquiry is a methodological approach in ethnography that involves active participation of both the researcher and the subjects in the research process to generate knowledge and understanding.,COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,cooperative inquiry,"",""
contextual inquiry,"Contextual inquiry is a qualitative research method, derived from ethnography, that involves observing and interviewing users in their natural environment to understand their interactions, behaviors, and challenges with a particular system or process.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,contextual inquiry,"",""
autoethnography,"Autoethnography is a research method that involves self-observation and reflexive investigation in the context of the researcher's own social and cultural background, often involving personal narrative and introspection.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,autoethnography,"",""
clinical ethnography,"Clinical ethnography is a methodological approach within ethnography that involves the systematic collection, analysis, and interpretation of data about the social interactions, behaviors, and perceptions that occur within clinical settings, often used to understand and improve healthcare delivery and patient outcomes.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,clinical ethnography,"",""
person centered ethnography,Person centered ethnography is a methodological approach within ethnography that focuses on understanding the individual's perspective and experiences within their cultural and social context.,COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,person centered ethnography,"",""
visual ethnography,"Visual ethnography is a research method within ethnography that involves the use of visual materials such as photographs, films, and other media to document, analyze, and interpret the culture and behavior of a specific social group.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,visual ethnography,"",""
videography,"Videography refers to the process of capturing moving images on electronic media, such as digital cameras or tape, encompassing methods and techniques of video production and post-production.",COLLECTION_METHOD,visual ethnography,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,visual ethnography,videography,""
phenomenological method,The phenomenological method is a research approach within ethnography that focuses on the subjective experiences and interpretations of individuals to understand the essence of a phenomenon.,COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,phenomenological method,"",""
interpretative method,"An interpretative method refers to a research approach that seeks to understand and interpret the meanings that individuals attach to their actions, decisions, and interactions within a specific context, often used in ethnography to provide a comprehensive and detailed view of a social phenomenon.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,interpretative method,"",""
participative method,A participative method refers to a research strategy in ethnography where the researcher actively engages and involves the subjects in the process of data collection and analysis.,COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,participative method,"",""
cultural probe,"A cultural probe is a research tool used in ethnography that involves the deployment of specific tasks or materials to elicit responses from participants in their natural environment, thereby gaining insights into their cultural, social, and individual experiences.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,cultural probe,"",""
diary study,"A diary study is a qualitative research method, derived from ethnography, where participants record specific behaviors, experiences, or interactions in a log or journal over a predetermined period for later analysis by researchers.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,diary study,"",""
documentary method,"The documentary method refers to a systematic procedure in ethnography that involves the collection, analysis, and interpretation of documents and other related materials to gain insights into a particular cultural or social group.",COLLECTION_METHOD,ethnography,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitativ observational study,ethnography,documentary method,"",""
grounded theory,Grounded theory is a systematic methodology in the social sciences involving the construction of theories through methodical gathering and analysis of data.,COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,grounded theory,"","","",""
archival research,Archival research is an empirical qualitative method that involves the systematic examination and interpretation of data and records from the past to generate meaningful information and insights.,COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,"","","",""
desk research,"Desk research is a systematic investigation method that involves the collection, evaluation, and synthesis of existing research materials and data, primarily conducted through online sources, databases, and publications, without the need for fieldwork or direct interaction with subjects.",COLLECTION_METHOD,archival research,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,desk research,"","",""
government statistic,"A government statistic is a method of data collection that involves the systematic gathering, verification, and analysis of quantitative and qualitative information from government sources for research purposes.",COLLECTION_METHOD,archival research,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,government statistic,"","",""
company material,"Company material refers to the collection of all types of documents, records, and databases that are generated, maintained, and stored by an organization for the purpose of archival research.",COLLECTION_METHOD,archival research,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,company material,"","",""
internal company material,"Internal company material refers to the aggregation of data, records, and information generated within a business entity, which is used for internal purposes such as decision-making, strategy formulation, and operational management.",COLLECTION_METHOD,company material,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,company material,internal company material,"",""
public company material,"Public company material refers to the systematic gathering and compilation of data, documents, and other relevant information pertaining to a publicly traded corporation.",COLLECTION_METHOD,company material,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,company material,public company material,"",""
financial report,"A financial report is a comprehensive summary of a public company's financial activities, including its revenues, expenses, assets, liabilities, and cash flows, typically compiled on a quarterly or annual basis.",COLLECTION_METHOD,public company material,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,company material,public company material,financial report,""
archival database,"An archival database is a structured set of data stored and organized for long-term retention and retrieval, primarily used in archival research for the purpose of preserving historical records and facilitating future inquiries.",COLLECTION_METHOD,archival research,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,"","",""
biographical database,"A biographical database is a specialized type of archival database that systematically collects, organizes, and stores detailed information about individuals' lives and achievements for easy retrieval and analysis.",COLLECTION_METHOD,archival database,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,biographical database,"",""
Marquis Who's Who,"Marquis Who's Who is a comprehensive biographical database that systematically collects, organizes, and presents detailed information about notable individuals from various fields of endeavor.",COLLECTION_METHOD,biographical database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,biographical database,Marquis Who's Who,""
financial archival database,"A financial archival database is a specialized type of archival database that is specifically designed to store, manage, and retrieve historical financial data for long-term preservation and analysis.",COLLECTION_METHOD,archival database,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,"",""
Thomson Reuters' Securities Data Company,"Thomson Reuters' Securities Data Company is a comprehensive financial archival database that collects, organizes, and disseminates extensive information on global securities, including equities, fixed income, indices, commodities, futures, options, and other related financial data.",COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,Thomson Reuters' Securities Data Company,""
Zephyr,"Zephyr is a method utilized in financial archival databases to systematically gather, organize, and store financial data for future reference and analysis.",COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,Zephyr,""
Compustat,Compustat is a comprehensive financial archival database that employs a collection method to gather and organize extensive data on securities of publicly traded companies globally.,COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,Compustat,""
Capital IQ,Capital IQ is a comprehensive financial archival database that utilizes a collection method to aggregate and analyze vast amounts of financial and business-related data for decision-making purposes.,COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,Capital IQ,""
FactSet,"FactSet is a method of collecting, organizing, and storing financial data, serving as a subset within the broader category of financial archival databases.",COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,FactSet,""
SEC EDGAR,"SEC EDGAR is an electronic system developed by the U.S. Securities and Exchange Commission to facilitate the accurate and efficient collection, validation, indexing, acceptance, and forwarding of submissions by companies and others who are required by law to file forms with the SEC.",COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,SEC EDGAR,""
LexisNexis,"LexisNexis is a comprehensive financial archival database that provides an extensive collection method for legal and business information, including case laws, news, business profiles, and regulatory and legislative resources.",COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,LexisNexis,""
SDC Platinum,SDC Platinum is a comprehensive financial archival database collection method used for extensive research and analysis in the field of finance.,COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,SDC Platinum,""
PitchBook,A PitchBook is a comprehensive financial archival database subset that compiles and organizes specific investment or financial data for presentation to potential investors or clients.,COLLECTION_METHOD,financial archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,financial archival database,PitchBook,""
news archival database,"A news archival database is a specialized type of archival database that systematically collects, organizes, and stores historical and current news data for retrieval and analysis.",COLLECTION_METHOD,archival database,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,news archival database,"",""
Google news,"Google News is a computerized news aggregation service provided by Google that continuously collects and organizes online articles from news publishers worldwide, functioning as a specialized subset within the broader category of news archival databases.",COLLECTION_METHOD,news archival database,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,archival research,archival database,news archival database,Google news,""
biographical research,"Biographical research is an empirical qualitative method that involves the systematic collection, analysis, and interpretation of an individual's life experiences and events to understand their personal history, behavior, and development.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,biographical research,"","","",""
qualitative interview,"A qualitative interview is a data collection technique within empirical qualitative methods that involves an interactive, flexible, and exploratory conversation between the interviewer and interviewee, aimed at gaining in-depth understanding of the interviewee's experiences, perspectives, and interpretations on a specific topic or phenomenon.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,"","","",""
personal interview,"A personal interview is a qualitative data collection method where an interviewer conducts a one-on-one, in-depth conversation with a respondent to gather detailed information about a specific topic or issue.",COLLECTION_METHOD,qualitative interview,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,personal interview,"","",""
biographical interview,"A biographical interview is a data collection method in which an individual's personal history, experiences, and life events are systematically gathered and analyzed.",COLLECTION_METHOD,personal interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,personal interview,biographical interview,"",""
critical incident technique,The critical incident technique is a qualitative research method that involves the systematic identification and analysis of significant events or incidents that are crucial to the outcome of a process or activity.,COLLECTION_METHOD,personal interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,personal interview,critical incident technique,"",""
group interview,A group interview is a qualitative data collection method where multiple participants are interviewed simultaneously to gather diverse perspectives and insights on a specific topic or issue.,COLLECTION_METHOD,qualitative interview,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,"","",""
focus group,"A focus group is a qualitative research method that involves a structured and moderated discussion with a small group of individuals to gain insights about their perceptions, opinions, beliefs, and attitudes towards a product, service, concept, or idea.",COLLECTION_METHOD,group interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,focus group,"",""
nominal group technique,The nominal group technique is a structured method used in group interviews that involves individual idea generation and subsequent pooling of responses for discussion and prioritization.,COLLECTION_METHOD,group interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,nominal group technique,"",""
nominal focus group,"A nominal focus group is a specific application of the nominal group technique that involves a structured method for gathering, prioritizing, and aggregating opinions or ideas from a group of participants.",COLLECTION_METHOD,nominal group technique,9.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,nominal group technique,nominal focus group,""
expert panel,"An expert panel refers to a methodological approach in which a group of individuals with specialized knowledge or expertise are assembled to discuss, analyze, and provide insights on a specific topic or issue.",COLLECTION_METHOD,group interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,expert panel,"",""
delphi study,"A Delphi study is a structured communication technique, originally developed as a systematic, interactive forecasting method which relies on a panel of experts who answer questionnaires in two or more rounds, allowing for the refinement of views and judgments through controlled feedback.",COLLECTION_METHOD,group interview,8.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,group interview,delphi study,"",""
repertory grid technique,"The repertory grid technique is a structured interview method used for eliciting personal constructs of individuals, which are then analyzed to understand their perception and interpretation of their world.",COLLECTION_METHOD,qualitative interview,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,repertory grid technique,"","",""
longitudinal interview,A longitudinal interview is a qualitative research method that involves conducting multiple sessions with the same participants over an extended period of time to observe changes and developments in their responses.,COLLECTION_METHOD,qualitative interview,7.0,longitudinal research,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,longitudinal interview,"","",""
cross sectional interview,A cross sectional interview is a qualitative interview method that collects data at a specific point in time from different individuals or groups to compare and analyze variations in their responses.,COLLECTION_METHOD,qualitative interview,7.0,cross sectional research,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,cross sectional interview,"","",""
historical review,"A historical review is a qualitative interview sub-method that involves the systematic collection, evaluation, and interpretation of data from past events to understand patterns, causes, and effects within a given context.",COLLECTION_METHOD,qualitative interview,7.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative interview,historical review,"","",""
qualitative data,"Qualitative data refers to non-numerical information that is obtained through observation, interviews, or verbal interactions and is used in the analysis and interpretation of patterns, themes, and other subjective aspects.",COLLECTION_METHOD,empirical qualitative method,6.0,,entity,methodological entity,research method,data collection method,empirical qualitative method,qualitative data,"","","",""
mixed method,Mixed method refers to a research approach that combines both qualitative and quantitative data collection and analysis techniques in a single study to enhance the depth and breadth of understanding.,COLLECTION_METHOD,data collection method,5.0,,entity,methodological entity,research method,data collection method,mixed method,"","","","",""
